id,title,year,runtime,genres,rating,numVotes
tt0112856,Two Orphan Vampires,1997.0,107.0,"Drama,Fantasy,Horror",5.1,1040
tt0112857,Devil in a Blue Dress,1995.0,102.0,"Crime,Drama,Mystery",6.8,26981
tt0112864,Die Hard with a Vengeance,1995.0,128.0,"Action,Adventure,Thriller",7.6,425600
tt0112870,Dilwale Dulhania Le Jayenge,1995.0,181.0,"Drama,Romance",8.0,83472
tt0112873,A Story About Love,1995.0,70.0,"Drama,Romance",1.6,3205
tt0112887,The Doom Generation,1995.0,83.0,"Comedy,Crime,Drama",6.2,19506
tt0112895,Dr. Jekyll and Ms. Hyde,1995.0,90.0,"Comedy,Romance,Sci-Fi",4.5,3140
tt0112896,Dracula: Dead and Loving It,1995.0,88.0,"Comedy,Fantasy,Horror",5.9,48152
tt0112906,Droid Gunner,1995.0,90.0,"Action,Sci-Fi",4.2,1052
tt0112907,Drunks,1995.0,90.0,Drama,6.4,1303
tt0112913,Fallen Angels,1995.0,99.0,"Comedy,Crime,Drama",7.5,58605
tt0112922,The Day of the Beast,1995.0,99.0,"Action,Comedy,Crime",7.3,25563
tt0112942,Electra,1996.0,87.0,"Action,Sci-Fi,Thriller",3.4,1084
tt0112945,Élisa,1995.0,115.0,Drama,6.5,2286
tt0112950,Empire Records,1995.0,90.0,"Comedy,Drama,Music",6.7,68468
tt0112955,En på miljonen,1995.0,87.0,Comedy,5.3,1064
tt0112966,The Englishman Who Went Up a Hill But Came Down a Mountain,1995.0,99.0,"Comedy,Drama,Romance",6.6,19501
tt0112993,Evolver,1995.0,91.0,"Action,Horror,Sci-Fi",5.5,1528
tt0113010,Fair Game,1995.0,91.0,"Action,Romance,Thriller",4.4,14575
tt0113014,Fall Time,1995.0,88.0,"Crime,Drama",5.4,2173
tt0113026,The Fantasticks,2000.0,86.0,"Musical,Romance",5.7,1479
tt0113028,Far from Home: The Adventures of Yellow Dog,1995.0,81.0,"Adventure,Family",6.3,3485
tt0113041,Father of the Bride Part II,1995.0,106.0,"Comedy,Family,Romance",6.1,44375
tt0113043,The Fear,1995.0,102.0,Horror,3.9,1702
tt0113049,P.O.Box Tinto Brass,1995.0,81.0,Comedy,5.1,2134
tt0113057,A Single Girl,1995.0,90.0,Drama,6.6,2075
tt0113059,Filmpje!,1995.0,104.0,"Action,Comedy",5.5,1359
tt0113063,The Final Cut,1995.0,88.0,"Action,Drama,Thriller",5.5,1344
tt0113071,First Knight,1995.0,134.0,"Action,Adventure,Drama",6.0,81917
tt0113074,Fist of the North Star,1995.0,103.0,"Action,Fantasy,Sci-Fi",3.9,3772
tt0113080,Flirt,1995.0,85.0,"Drama,Romance",6.3,2372
tt0113081,Flodder 3,1995.0,124.0,Comedy,5.5,3948
tt0113083,The Flower of My Secret,1995.0,103.0,"Comedy,Drama",7.0,13551
tt0113089,Fluke,1995.0,96.0,"Drama,Family,Fantasy",6.6,8025
tt0113097,Forget Paris,1995.0,101.0,"Comedy,Romance",6.5,13625
tt0113101,Four Rooms,1995.0,98.0,Comedy,6.7,115592
tt0113104,Frank and Ollie,1995.0,89.0,Documentary,7.6,1169
tt0113114,Free Willy 2: The Adventure Home,1995.0,95.0,"Adventure,Drama,Family",5.1,20457
tt0113117,French Kiss,1995.0,111.0,"Comedy,Drama,Romance",6.6,56016
tt0113118,Friday,1995.0,91.0,"Comedy,Drama",7.2,134483
tt0113119,Friend of the Family,1995.0,103.0,Drama,4.5,1222
tt0113133,Funny Bones,1995.0,128.0,"Comedy,Drama",6.7,4029
tt0113140,Galaxis,1995.0,91.0,"Action,Sci-Fi,Thriller",3.6,1245
tt0113142,"Gamera, the Guardian of the Universe",1995.0,96.0,"Action,Drama,Fantasy",6.8,4516
tt0113149,French Twist,1995.0,104.0,"Comedy,Romance",6.4,5572
tt0113153,My Father Is a Hero,1995.0,104.0,"Action,Crime,Drama",6.5,5747
tt0113158,Georgia,1995.0,115.0,"Drama,Music",6.5,3463
tt0113161,Get Shorty,1995.0,105.0,"Comedy,Crime,Thriller",6.9,95716
tt0113187,Godzilla vs. Destoroyah,1995.0,103.0,"Action,Drama,Horror",6.9,8337
tt0113188,Gold Diggers: The Secret of Bear Mountain,1995.0,93.0,"Adventure,Drama,Family",6.0,5275
tt0113189,GoldenEye,1995.0,130.0,"Action,Adventure,Thriller",7.2,281817
tt0113194,The Five,1995.0,109.0,"Action,Crime,Drama",6.7,2830
tt0113198,A Goofy Movie,1995.0,78.0,"Adventure,Animation,Comedy",7.0,68432
tt0113211,The Grass Harp,1995.0,107.0,"Comedy,Drama",6.7,20240
tt0113221,Grim,1996.0,86.0,Horror,2.4,1249
tt0113228,Grumpier Old Men,1995.0,101.0,"Comedy,Romance",6.7,31228
tt0113234,Gumby: The Movie,1995.0,90.0,"Adventure,Animation,Comedy",6.0,1137
tt0113241,Habit,1995.0,112.0,"Drama,Horror,Romance",6.4,2441
tt0113243,Hackers,1995.0,105.0,"Crime,Drama,Romance",6.2,79860
tt0113247,La haine,1995.0,98.0,"Crime,Drama",8.1,219485
tt0113249,Innocent Lies,1995.0,88.0,"Drama,Mystery,Thriller",4.5,1195
