id,title,year,runtime,genres,rating,numVotes,budget,gross,votes
tt0113448,Jack & Sarah,1995.0,110.0,"Comedy,Drama,Romance",6.6,5750,,218626.0,5100.0
tt0113449,Jack-O,1995.0,88.0,Horror,3.5,2093,,,
tt0113451,Jade,1995.0,95.0,"Crime,Drama,Thriller",5.4,15305,50000000.0,9851610.0,12000.0
tt0113463,Jefferson in Paris,1995.0,139.0,"Biography,Drama,History",5.7,3324,14000000.0,2473668.0,2800.0
tt0113464,Jeffrey,1995.0,92.0,"Comedy,Drama",6.8,7099,,3487767.0,5900.0
tt0113475,The Chinese Feast,1995.0,100.0,"Comedy,Romance",6.7,1616,,,
tt0113481,Johnny Mnemonic,1995.0,96.0,"Action,Drama,Sci-Fi",5.6,79845,26000000.0,19075720.0,68000.0
tt0113490,The Journey of August King,1995.0,91.0,Drama,6.5,1104,,,
tt0113492,Judge Dredd,1995.0,96.0,"Action,Crime,Sci-Fi",5.6,130670,90000000.0,113493481.0,112000.0
tt0113497,Jumanji,1995.0,104.0,"Adventure,Comedy,Family",7.1,405117,65000000.0,262821940.0,318000.0
tt0113500,Jury Duty,1995.0,88.0,Comedy,4.3,9185,,17014653.0,7600.0
tt0113501,Just Cause,1995.0,102.0,"Action,Crime,Drama",6.4,32212,,36853222.0,25000.0
tt0113510,The Jonsson Gang's Greatest Robbery,1995.0,99.0,"Comedy,Crime",5.0,2546,,,
tt0113526,Karan Arjun,1995.0,175.0,"Action,Drama,Fantasy",6.8,17317,,,
tt0113533,Born to Be Wild,1995.0,100.0,"Adventure,Comedy,Drama",5.2,1805,,,
tt0113537,Kicking and Screaming,1995.0,96.0,"Comedy,Drama,Romance",6.6,15893,,718490.0,13000.0
tt0113538,A Kid in King Arthur's Court,1995.0,89.0,"Adventure,Comedy,Family",4.8,7253,15000000.0,13406717.0,5800.0
tt0113540,Kids,1995.0,91.0,Drama,7.0,90360,1500000.0,7412216.0,75000.0
tt0113542,Killer: A Journal of Murder,1995.0,91.0,"Biography,Crime,Drama",6.3,2504,,,
tt0113552,Kiss of Death,1995.0,101.0,"Crime,Drama,Thriller",6.0,21006,40000000.0,14942422.0,17000.0
tt0113556,The Last Wedding,1995.0,90.0,"Comedy,Drama",6.6,1039,,,
tt0113557,Zero Kelvin,1995.0,113.0,Drama,7.2,2282,,,
tt0113568,Ghost in the Shell,1995.0,83.0,"Action,Animation,Crime",7.9,169703,,516540.0,133000.0
tt0113576,Kristin Lavransdatter,1995.0,180.0,Drama,4.5,1067,,,
tt0113580,Kummeli Stories,1995.0,90.0,"Comedy,Musical,Sport",7.0,2594,,,
tt0113598,Lang leve de koningin,1995.0,118.0,"Adventure,Drama,Family",7.3,1336,,,
